paso;participante;objetivo;consigna;palabras;dicho;adopcion_productiva;calidad_cientifico_tecnologica;concentracion_institucional;federalizacion_efectiva;nivel_de_consenso;sostenibilidad_posterior;viabilidad_operativa
1;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;The session begins. Mariana Roldán (SI) opens the floor for the first point of discussion: the model of distribution for the 'NOA Agua, Producción y Territorio' project. How do the participants respond to the options of 'competencia abierta sin reservas', 'un proyecto por provincia', 'fondo mixto con reserva territorial', or 'redes interprovinciales obligatorias'?;152;"Laura Benítez (DIE) stood before the assembly at the Secretariat of Innovation and reviewed the regional capacity map on the screen. She addressed her colleagues, rejecting both open competition and a ""one-project-per-province"" model. She stated: ""Una competencia abierta sin reservas, tal como está planteada, solo profundizará la brecha existente y expulsará del sistema a los nodos emergentes que tanto esfuerzo ha costado identificar en el Atlas. Del mismo modo, un esquema de un proyecto por provincia corre el riesgo de diluir la calidad técnica y no responde a la necesidad de construir complementariedades reales en el territorio. La salida debe transitar necesariamente por un modelo híbrido o de redes interprovinciales obligatorias, respaldado por un fondo mixto con reserva territorial explícita. Cualquier diseño que aprueben debe contar con evidencia trazable sobre capacidades y brechas; no avalaré un acuerdo apresurado si este carece de garantías técnicas y territoriales concretas.""

[VARIABLES: calidad_cientifico_tecnologica=60, federalizacion_efectiva=50, concentracion_institucional=55, nivel_de_consenso=30]";40.0;60.0;55.0;50.0;30.0;35.0;45.0
2;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán (SI) toma la palabra tras la intervención de Laura Benítez para moderar la mesa. ¿Qué propone Mariana a los otros participantes para avanzar hacia el consenso sobre el modelo de distribución, considerando la propuesta de redes interprovinciales?;175;"Mariana Roldán (SI) tomó el mando de la mesa y ratificó la propuesta de un modelo híbrido de redes interprovinciales obligatorias, rechazando explícitamente tanto la competencia abierta como el modelo de un proyecto por provincia. Dirigiéndose a Martín Salvatierra (CECT), Verónica Cruz (COFECyT-NOA) y Sergio Ledesma (CP-NOA), Mariana declaró: ""Estructuraremos la convocatoria bajo un modelo híbrido de redes interprovinciales obligatorias, donde los nodos consolidados de las dos provincias con mayor infraestructura deban asociarse formalmente con los nodos emergentes del resto de la región para transferir capacidades y ejecutar los proyectos. Cualquier fórmula que adoptemos debe contemplar una reserva territorial explícita y ser financieramente viable frente al recorte presupuestario del 20% que el Ministerio efectivizará hoy; exijo que se definan métricas claras de resultados a seis meses antes de dar por buena cualquier distribución"". Como resultado, el debate sobre el modelo de distribución se consolidó en torno a la propuesta de redes obligatorias y se introdujo la urgencia del recorte presupuestario como un factor determinante para la viabilidad de la convocatoria.

[VARIABLES: federalizacion_efectiva=60, viabilidad_operativa=55, concentracion_institucional=45, nivel_de_consenso=45]";;60.0;45.0;60.0;45.0;;55.0
3;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Martín Salvatierra — CECT propose regarding the project quantity and scale (four integral, six medium, or three integral plus three pilot projects), and does he believe this meets the required technical quality standards?;175;"**Event:** Martín Salvatierra (CECT) interrumpió el debate para objetar formalmente la viabilidad de la convocatoria ante el recorte del 20% y las exigencias temporales impuestas por la Dirección de Innovación. Tras analizar las propuestas de escala (cuatro proyectos integrales, seis medianos, o tres integrales más tres pilotos), Martín se puso de pie y declaró ante la mesa: ""Ninguna de las opciones cuantitativas presentadas resulta viable bajo los actuales parámetros de ajuste. Recortar el presupuesto mientras se exigen resultados en un plazo exiguo de medio año destruye por completo la solidez metodológica y la capacidad real de ejecución, convirtiendo cualquier esquema en un ejercicio superficial de cumplimiento formal desprovisto de verdadera calidad científico-tecnológica. El CECT no avalará un diseño que comprometa la excelencia institucional solo para responder a urgencias financieras o políticas coyunturales"". Como resultado, la discusión se bloqueó en el punto de decisión sobre la escala de los proyectos, y el nivel de consenso descendió debido a la negativa explícita del CECT a validar el esquema sin una revisión técnica profunda.

[VARIABLES: calidad_cientifico_tecnologica=50, viabilidad_operativa=45, nivel_de_consenso=30]";;50.0;45.0;60.0;30.0;;45.0
4;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Ante la objeción de Martín Salvatierra (CECT) y la presión por el recorte presupuestario, ¿qué postura toma Verónica Cruz (COFECyT-NOA) respecto a la escala de los proyectos y cómo propone resolver el bloqueo técnico?;209;"**Evento compuesto:**

Verónica Cruz (COFECyT-NOA) toma la palabra en el centro de la Secretaría de Innovación para desafiar la postura bloqueante de Martín Salvatierra (CECT) y el escepticismo ante el recorte del 20%. Con un gesto de firmeza, Verónica declara: ""El COFECyT-NOA no permitirá que el recorte ni la rigurosidad abstracta del CECT sirvan como excusa para vaciar de contenido la convocatoria y dejar a las provincias emergentes sin oportunidades reales de liderazgo. Mantendremos las redes interprovinciales, pero exigiremos que los nodos consolidados asuman un compromiso presupuestario y operativo auditable; la transferencia de capacidades no será un requisito en el papel, sino una métrica obligatoria evaluada a los seis meses. Condiciono nuestro respaldo a que se establezca una reserva territorial explícita que blinde el financiamiento para las provincias con capacidades fragmentadas; cualquier intento de centralizar los fondos será respondido con un rechazo frontal que dejará al descubierto la falta de consenso en esta mesa"". Como resultado, la tensión aumenta ante el ultimátum de Verónica, obligando a Martín Salvatierra y al resto de los funcionarios a considerar un ajuste táctico que priorice la federalización sobre la reducción de la escala, desplazando el peso de la decisión hacia la viabilidad de una auditoría estricta de resultados.

[VARIABLES: calidad_cientifico_tecnologica=55, federalizacion_efectiva=65, viabilidad_operativa=50, nivel_de_consenso=35]";;55.0;45.0;65.0;35.0;;50.0
5;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Sergio Ledesma (CP-NOA), how do you position yourself regarding the impasse between the CECT's demand for technical excellence and the COFECyT-NOA's demand for federal quotas, specifically addressing the 20% budget cut?;268;"**Event:** Sergio Ledesma (CP-NOA) intervened in the assembly at the Secretariat of Innovation to break the deadlock between academic rigor and territorial representation. Addressing his colleagues, Ledesma stated: ""Si queremos que esta convocatoria sirva para algo y no termine siendo un ejercicio de papeles archivados en un cajón, tenemos que ser pragmáticos. No podemos financiar una maraña de pequeños proyectos aislados que no tienen escala ni capacidad de impacto real, pero tampoco podemos permitir que el ajuste presupuestario recaiga sobre los nodos emergentes de las provincias con menor infraestructura. Concentraremos el presupuesto recortado en un número menor de redes interprovinciales —exactamente tres proyectos de gran calado en lugar de cinco o seis—, condicionando los fondos a que los nodos consolidados de las provincias con mayor desarrollo transfieran tecnología y capacidad operativa comprobable a los equipos de las provincias emergentes en un plazo estricto de seis meses. Esa es la única forma de equilibrar la ecuación: bajamos la cantidad para asegurar la escala técnica que reclama Martín, pero exigimos métricas de adopción productiva directa y participación activa de las provincias emergentes como lo pide Verónica. O ajustamos el esquema hacia este modelo con garantías claras de ejecución real, o este diseño se cae y nos quedamos todos sin nada que mostrar en el territorio."" Como resultado, la propuesta de reducir el número de proyectos a tres redes de gran escala con transferencia tecnológica obligatoria se posicionó como el eje técnico-productivo para superar el bloqueo, obligando a los demás actores a reconsiderar la viabilidad del recorte bajo una estructura de mayor impacto pero menor cantidad.

[VARIABLES: calidad_cientifico_tecnologica=60, viabilidad_operativa=60, adopcion_productiva=55, nivel_de_consenso=45]";55.0;60.0;45.0;65.0;45.0;35.0;60.0
6;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Laura Benítez — DIE propose in response to the three-project model, and does she agree to move toward the final design?;124;"**Event:** Laura Benítez (DIE) formally endorsed the three-network interprovincial model proposed by Sergio Ledesma. Speaking to the assembly at the Secretariat of Innovation, she stated: ""La concentración de recursos en tres redes permite absorber el recorte del 20% sin sacrificar la viabilidad operativa ni la trazabilidad técnica basada en el Atlas de Capacidades. Mi respaldo está condicionado a que Mariana Roldán formalice en el texto de la convocatoria las métricas claras de transferencia y las auditorías de resultados a seis meses, asegurando así tanto la excelencia científica como la equidad territorial."" As a result, the consensus regarding the structural scale of the projects solidified, shifting the focus of the assembly toward the final drafting and formalization of the convocatoria's regulatory clauses.

[VARIABLES: nivel_de_consenso=55, sostenibilidad_posterior=45]";55.0;60.0;45.0;65.0;55.0;45.0;60.0
7;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán (SI) debe formalizar la convocatoria 'NOA Agua, Producción y Territorio' integrando el modelo de tres redes interprovinciales, las métricas de transferencia a seis meses y la reserva territorial ante el recorte presupuestario. ¿Cuál es su decisión final y cómo responde a las exigencias de los actores para cerrar el diseño?;212;"**Event:** Mariana Roldán (SI) presided over the final assembly at the Secretariat of Innovation to resolve the deadlock regarding the ""NOA Agua, Producción y Territorio"" convocatoria. Asserting her institutional authority, she silenced further debate by finalizing the project structure. Mariana Roldán declared: ""El diseño de la convocatoria 'NOA Agua, Producción y Territorio' queda formalmente aprobado y redactado sobre la base de tres redes interprovinciales de gran escala. Hemos integrado el ajuste presupuestario del 20% sin sacrificar el rigor técnico que el CECT exigía, y hemos blindado el carácter federal mediante la reserva territorial estipulada por el COFECyT-NOA y la DIE."" She then addressed the room with a final directive: ""Las cláusulas finales son inapelables: el desembolso de los fondos estará estrictamente condicionado a la presentación de métricas de transferencia tecnológica auditables y con resultados visibles en un plazo exacto de seis meses. No hay espacio para excepciones ni para reabrir el debate. Este esquema es políticamente defendible, técnicamente viable y se ejecuta con lo que tenemos sobre la mesa hoy. La sesión se da por concluida; pasemos a la firma del acta."" As a result, the convocatoria was officially approved, the design phase was closed, and the participants moved to ratify the agreement through the signing of the act.

[VARIABLES: diseno_final=aprobado, nivel_de_consenso=80]";55.0;60.0;45.0;65.0;80.0;45.0;60.0
8;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Martín Salvatierra — CECT procede a revisar el documento final y estampar su firma para ratificar el acuerdo tras la decisión de Mariana Roldán. ¿Qué declaración hace al firmar?;188;"**Evento compuesto:** En la Secretaría de Innovación, Martín Salvatierra (CECT) se aproxima a la mesa principal y estampa su firma en el acta final de la convocatoria ""NOA Agua, Producción y Territorio"" con un gesto sobrio y metódico. Al finalizar, se dirige a los demás funcionarios presentes y declara con firmeza: ""Firmo este acuerdo porque la estructuración en tres redes interprovinciales de gran escala, combinada con los mecanismos de auditoría a los seis meses, ofrece la contención técnica y metodológica que este CECT exigía frente al recorte presupuestario. Hemos evitado la fragmentación ineficiente y protegido los estándares de calidad científico-tecnológica. No obstante, que quede constancia: la Secretaría y los nodos ejecutores deberán demostrar rigor absoluto en las métricas de transferencia real de capacidades. El CECT no avalará ningún resultado que se quede en el papel o que margine a los nodos emergentes; nuestra supervisión técnica será implacable durante toda la ejecución"". Como resultado, su adhesión formal al modelo de tres redes consolida un consenso definitivo entre los actores, cerrando la etapa de diseño de la convocatoria y dando inicio a la fase de implementación del proyecto.

[VARIABLES: nivel_de_consenso=90]";55.0;60.0;45.0;65.0;90.0;45.0;60.0
9;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Tras la firma de Martín Salvatierra y la consolidación del acuerdo, ¿cuál es la acción inmediata de Verónica Cruz — COFECyT-NOA para asegurar que el compromiso de reserva territorial quede debidamente registrado en el acta de inicio de la implementación?;158;"**Evento compuesto:** En la Secretaría de Innovación, Verónica Cruz (COFECyT-NOA) revisa minuciosamente el acta recién firmada para asegurar que la cláusula de reserva territorial y el cronograma de auditoría a seis meses no contengan ambigüedades jurídicas. Mientras analiza el documento, un funcionario ingresa al recinto y entrega la Resolución Secundaria 402/24, la cual altera de forma inmediata los criterios de elegibilidad de los equipamientos financiables. Ante este cambio, Verónica confronta a la mesa: ""Esta resolución es una trampa que dinamita el acuerdo: el Ministerio nos obliga a elegir entre infraestructura de punta o los gastos operativos para la transferencia de capacidades. Si sacrificamos la operatividad, la reserva territorial que acabamos de blindar se vuelve letra muerta"". Como resultado, la tensión escala rápidamente, el nivel de consenso cae al 60% y los integrantes de la mesa deben decidir de urgencia cómo resolver la incompatibilidad entre los nuevos requisitos técnicos y la viabilidad de las redes interprovinciales.

[VARIABLES: viabilidad_operativa=50, nivel_de_consenso=60]";55.0;60.0;45.0;65.0;60.0;45.0;50.0
10;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Sergio Ledesma — CP-NOA, ¿cuál es su propuesta para resolver la contradicción entre la nueva resolución y la operatividad de las redes interprovinciales?;173;"**Evento compuesto:** Sergio Ledesma (CP-NOA) interrumpió la sesión en la Secretaría de Innovación para rechazar formalmente la Resolución Secundaria 402/24. Dirigiéndose a Mariana Roldán, Ledesma declaró: ""Obligar a elegir entre equipamiento tecnológico y gastos operativos es vaciar de contenido el acuerdo recién firmado y condenar al fracaso la transferencia real hacia las provincias emergentes. Exijo una adenda ministerial que blinde un porcentaje mínimo e innegociable para la operatividad logística de los nodos. El sector productivo no prestará aval a un acuerdo de papel"".

Mariana Roldán (SI) respondió inmediatamente para contener la crisis: ""Acepto la necesidad de la adenda para mantener el equilibrio del modelo, pero bajo una condición estricta: el presupuesto para la operatividad logística se extraerá exclusivamente del rubro de honorarios de consultoría externa. Los nodos deberán absorber la gestión con sus propios equipos internos. No hay más fondos disponibles"". Como resultado, la maniobra de Roldán neutralizó la confrontación inmediata de Ledesma, pero desplazó la presión del presupuesto financiero hacia la capacidad operativa del personal interno de cada nodo.

[VARIABLES: viabilidad_operativa=45, nivel_de_consenso=65]";55.0;60.0;45.0;65.0;65.0;45.0;45.0
