paso;actor;objetivo;consigna;palabras;dicho;adopcion_productiva;calidad_cientifico_tecnologica;concentracion_institucional;federalizacion_efectiva;nivel_de_consenso;sostenibilidad_posterior;viabilidad_operativa
1;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What is the initial position of each participant regarding the model of distribution (competition vs. regional reserves)?;80;"**Event Summary:**

Laura Benítez (DIE) blocked the current proposal path by explicitly rejecting both open competition and rigid provincial quotas. During the deliberation, she stated: ""No me sumaré a ningún acuerdo que carezca de garantías explícitas para los territorios más vulnerables; la convocatoria debe diseñarse sobre evidencia trazable de capacidades, brechas y complementariedades."" As a result, the negotiation remains stalled at the distribution model phase, forcing the committee to seek a hybrid strategy that incorporates territorial vulnerability criteria.

[VARIABLES: nivel_de_consenso=20]";40.0;50.0;65.0;40.0;20.0;35.0;45.0
2;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán (SI) propone un modelo de 'Fondo Mixto con Reserva Territorial y Redes Obligatorias' para desbloquear la negociación. ¿Qué responde el resto de la mesa ante esta propuesta híbrida que busca equilibrar las capacidades consolidadas con el fortalecimiento de las provincias emergentes?;135;"Mariana Roldán (SI) presided over the deliberation of the ""NOA Agua, Producción y Territorio"" convocatoria, navigating the conflicting demands of the committee members. Martín Salvatierra (CECT) challenged the proposal, stating: ""La inclusión de una reserva territorial podría diluir el rigor científico y premiar la ineficiencia."" In response, Verónica Cruz (COFECyT-NOA) argued: ""El porcentaje asignado a la reserva debe ser lo suficientemente robusto como para significar un cambio real y no una mera formalidad estadística."" Laura Benítez (DIE) cautioned the group: ""Aunque el esquema híbrido es un avance interesante, exigirá un monitoreo administrativo extraordinario para evitar cuellos de botella en la rendición de cuentas."" As a result, the committee shifted toward a hybrid distribution model, leaving Mariana to resolve the tension between scientific rigor and territorial equity while preparing to finalize the funding percentages.

[VARIABLES: NONE]";40.0;50.0;65.0;40.0;20.0;35.0;45.0
3;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Martín Salvatierra — CECT do or say to address the hybrid distribution model proposal while balancing scientific rigor?;240;"**Event:** During the deliberation, Martín Salvatierra (CECT) interrupted the meeting to express his firm opposition to the proposed hybrid distribution model. He stood his ground against the perceived compromise of scientific standards, stating: ""Si me permiten, creo que estamos perdiendo el norte bajo la presión de este recorte. Entiendo perfectamente la necesidad política de mostrar equidad territorial y de atender las vulnerabilidades de las provincias emergentes, pero no podemos construir un esquema sobre bases ficticias. Un modelo híbrido que ceda porcentajes importantes de la convocatoria sin exigir los mismos estándares de mérito y solidez metodológica no es una solución: es una malversación de recursos públicos disfrazada de federalismo. Si vamos a destinar una reserva territorial para mitigar brechas, esa reserva debe estar sujeta al mismo escrutinio científico-tecnológico estricto que cualquier otro fondo. No voy a avalar un sistema de cuotas encubiertas donde la capacidad real de ejecución y la calidad de los objetivos evaluables queden subordinadas a la mera formalidad estadística o al apaciguamiento político. Si la Secretaría de Innovación y la DIE pretenden avanzar hacia ese esquema, que conste en actas que el CECT exigirá auditorías de impacto técnico vinculantes desde la primera etapa. Sin garantías explícitas de excelencia metodológica, esto no es ciencia; es caridad presupuestaria."" As a result, the committee reached a critical juncture where the insistence on rigid technical audits for the territorial reserve became a formal condition for any further progress.

[VARIABLES: calidad_cientifico_tecnologica=55, federalizacion_efectiva=35, nivel_de_consenso=15]";;55.0;60.0;35.0;15.0;;40.0
4;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;How does Verónica Cruz — COFECyT-NOA respond to Martín Salvatierra's demand for rigid technical audits in the territorial reserve, and how does she propose to balance this with the need for effective federalization?;148;"**Event:** Verónica Cruz (COFECyT-NOA) confronted Martín Salvatierra (CECT) during the committee meeting, rejecting his insistence on rigid, uniform technical audits as a veiled attempt to maintain institutional centralization. She stated: ""Las auditorías vinculantes del CECT, tal como se plantean, actúan como un torniquete burocrático que asfixiará a las jurisdicciones con capacidades emergentes. No se puede exigir el mismo punto de partida a realidades tan dispares en el NOA; el COFECyT no avalará un diseño que deje a las provincias postergadas sin garantías ni liderazgo real."" To resolve the impasse, she proposed the adoption of a hybrid monitoring system that combines the DIE's intermediate administrative fiscalization with specific ponderations for territorial development needs. As a result, the committee gained a concrete framework to bridge the gap between technical rigor and territorial equity, placing the burden of compromise back on the committee to finalize the hybrid model.

[VARIABLES: federalizacion_efectiva=45, nivel_de_consenso=25]";;55.0;60.0;45.0;25.0;;35.0
5;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Sergio Ledesma — CP-NOA, dado que el debate sobre el modelo híbrido y las auditorías sigue en tensión, ¿cuál es su propuesta para garantizar que el diseño de la convocatoria asegure una adopción tecnológica real por parte de los productores locales, considerando la disparidad de capacidades en el NOA?;266;"Sergio Ledesma (CP-NOA) interrumpió el debate golpeando la mesa, insistiendo en que la burocracia actual ignora la realidad productiva. Sergio declaró: ""Si queremos que este modelo híbrido sirva para algo y no termine siendo un fracaso carísimo, propongo algo muy concreto y no negociable para el sector que represento: cualquier proyecto que se financie debe incluir obligatoriamente un protocolo de validación en condiciones reales, hecho junto a productores locales y organizaciones de base de nuestras provincias. No podemos permitir que el 20% de recorte presupuestario ni las exigencias de rigor científico del CECT terminen convirtiéndose en una barrera que expulse a los pequeños empresarios del NOA por no tener los antecedentes académicos de un centro de excelencia tradicional. La garantía que exigimos desde el CP-NOA es simple: la tecnología se prueba en territorio con nuestra gente, o el fondo pierde todo sentido práctico para la región"".

Ante esta demanda, Laura Benítez (DIE) tomó la palabra para gestionar el impacto operativo. Laura respondió: ""La exigencia de Sergio es necesaria, pero disminuye drásticamente nuestra viabilidad operativa si dejamos que cada provincia gestione su carga administrativa. La DIE tomará a su cargo la gestión centralizada de los convenios de transferencia tecnológica para liberar a las jurisdicciones, pero esto estará condicionado a que los productores locales firmen un compromiso de contraparte no monetaria antes de acceder a los fondos"".

Como resultado de esta interacción, la mesa integró la validación territorial con un mecanismo de gestión centralizada, elevando la probabilidad de adopción productiva y el consenso, aunque dejando el diseño bajo una estructura de gestión más rígida.

[VARIABLES: viabilidad_operativa=50, adopcion_productiva=50, nivel_de_consenso=35]";50.0;55.0;65.0;45.0;35.0;35.0;50.0
6;Laura Benítez — DIE;Lograr que la convocatoria se diseñe con evidencia trazable sobre capacidades, brechas, concentración territorial y complementariedades, sin convertir Atlas en un ranking automático. Laura Benítez debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán — SI, es momento de avanzar. Ante el recorte presupuestario del 20% y las condiciones acordadas (validación en territorio, gestión centralizada por la DIE, y el sistema de monitoreo híbrido), ¿cuál es su propuesta definitiva para la escala, cantidad de proyectos y distribución de fondos para cerrar la convocatoria?;289;"**Event:** Laura Benítez (DIE) established a rigid operational framework for the ""NOA Agua, Producción y Territorio"" convocatoria in response to the 20% budget cut. Addressing Mariana Roldán (SI), she stated: ""Si vamos a proceder con el recorte del 20% y a ratificar este esquema híbrido de validación en territorio con gestión centralizada en la DIE, la propuesta definitiva debe ajustarse a parámetros estrictos de operatividad, Mariana. No podemos permitir que la dispersión de fondos ahogue nuestra capacidad de auditoría ni que las provincias vulnerables queden expuestas por una atomización de los recursos."" She further declared her non-negotiable terms: ""Mi postura es clara: para garantizar la trazabilidad y evitar el fracaso administrativo en el plazo de dieciocho meses, debemos acotar la cantidad de proyectos a un máximo de cuatro iniciativas de escala regional —dos de consolidación para los nodos con mayor masa crítica, y dos de carácter asociativo estrictamente condicionados a la validación técnica previa del CECT para las provincias emergentes—. Respecto a la distribución de fondos, el esquema no puede bajar del piso de reserva territorial del 40% para el bloque de menor desarrollo, condicionado a que cada peso esté respaldado por hitos de ejecución verificables en terreno y bajo la supervisión directa de esta Dirección. Si esta es la estructura que la Secretaría de Innovación propone para cerrar la convocatoria, la DIE evaluará su viabilidad; de lo contrario, bajo las condiciones actuales de sobrecarga y falta de garantías técnicas en la distribución, mi oficina no podrá otorgar el visado final."" As a result, the committee shifted toward a constrained structure of four projects, formalizing the 40% territorial reserve and placing the burden of final approval on Mariana Roldán’s ability to synthesize these technical requirements.

[VARIABLES: viabilidad_operativa=45, concentracion_institucional=55, nivel_de_consenso=40]";50.0;55.0;55.0;45.0;40.0;35.0;45.0
7;Mariana Roldán — SI;Aprobar un diseño de convocatoria políticamente defendible, ejecutable con recursos limitados y capaz de mostrar resultados visibles dentro de los primeros seis meses. Mariana Roldán debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;Mariana Roldán — SI, considerando el recorte presupuestario del 20% y las exigencias de la mesa, ¿qué decisión final propone usted para la convocatoria 'NOA Agua, Producción y Territorio', y cómo responde a las objeciones pendientes de los miembros?;290;"**Event:** Mariana Roldán (SI) definitively concluded the deliberation for the ""NOA Agua, Producción y Territorio"" convocatoria by presenting an inflexible, final structure to the committee. Addressing the delegates, she stated: ""Hemos debatido lo suficiente sobre nuestras diferencias teóricas. La realidad financiera es inapelable: tenemos un recorte del 20% que nos obliga a ser quirúrgicos, y no vamos a permitir que esta convocatoria naufrague por falta de decisión política o exceso de burocracia."" 

Mariana established the following mandates: ""Primero, adoptamos formalmente el esquema híbrido. La ejecución y gestión de los convenios recaerá de forma centralizada bajo la supervisión de la DIE. Segundo, blindamos el criterio territorial sin sacrificar el rigor. Respetaremos la reserva del 40% para las provincias emergentes, pero dicha reserva quedará estrictamente supeditada a una fase inicial obligatoria de formulación y validación técnica en terreno con los productores locales. Tercero, para satisfacer los estándares científicos del CECT y responder al recorte presupuestario, reducimos el alcance de la convocatoria a un máximo de cuatro iniciativas. Estas no recibirán financiamiento directo de inmediato; pasarán primero por una auditoría de impacto técnico vinculante durante esa fase inicial de filtrado. Solo las que demuestren viabilidad y excelencia pasarán a la ejecución definitiva."" Mariana concluded the session by declaring: ""Con este diseño absorbemos el 20% de recorte presupuestario, garantizamos resultados visibles en los primeros seis meses, protegemos a las provincias emergentes con su cuota de participación y blindamos el proceso con los controles técnicos y administrativos necesarios. No hay más espacio para modificaciones. Este es el texto definitivo de la convocatoria. Queda aprobado."" As a result, the committee reached a final agreement, establishing the framework for the project while maximizing institutional consensus and procedural rigor. 

[VARIABLES: calidad_cientifico_tecnologica=75, federalizacion_efectiva=60, viabilidad_operativa=70, adopcion_productiva=65, concentracion_institucional=40, sostenibilidad_posterior=60, nivel_de_consenso=100, diseno_final=aprobado]";65.0;75.0;40.0;60.0;100.0;60.0;70.0
8;Martín Salvatierra — CECT;Asegurar que los proyectos financiados tengan calidad científico-tecnológica, metodología consistente, objetivos evaluables y capacidad real de ejecución. Martín Salvatierra debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Martín Salvatierra — CECT do now that the final design is approved?;117;"Tras la declaración de cierre de Mariana Roldán, Martín Salvatierra (CECT) interrumpe la sesión para formalizar la fiscalización técnica del proyecto. Martín asiente con sobriedad ante el diseño aprobado, pero exige que los protocolos y plazos para las auditorías vinculantes se redacten explícitamente en el acta constitutiva. Martín declara: ""El CECT hará valer su autoridad científica para vetar, sin excepciones ni consideraciones políticas, cualquier iniciativa dentro del bloque de reserva del 40% que no acredite una solidez metodológica irrefutable en terreno"". Como resultado, la mesa incorpora este mandato al acta final, blindando el proceso contra la improvisación y garantizando que el estándar técnico sea el filtro definitivo para la ejecución de los cuatro proyectos seleccionados.

[VARIABLES: NONE]";65.0;75.0;40.0;60.0;100.0;60.0;70.0
9;Verónica Cruz — COFECyT-NOA;Conseguir una federalización efectiva que otorgue a todas las provincias del NOA oportunidades reales de liderazgo, recursos y fortalecimiento de capacidades. Verónica Cruz debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;How does Verónica Cruz — COFECyT-NOA respond to the inclusion of the CECT's veto power in the final mandate?;202;"Verónica Cruz (COFECyT-NOA) tomó el centro de la escena para neutralizar la amenaza de exclusión que pesaba sobre las provincias emergentes tras el endurecimiento de los controles técnicos. Declaró ante la mesa: ""Para asegurar que nuestra reserva del 40% no quede fuera de juego por barreras formales, el COFECyT implementará desde este momento un sistema de acompañamiento técnico directo. Asistiremos a los equipos locales para que cada propuesta cumpla estrictamente con los estándares metodológicos del CECT y los requisitos de la DIE antes de la auditoría"".

Mariana Roldán (SI), buscando blindar esta iniciativa y prevenir nuevos bloqueos, formalizó la creación del ""Comité de Enlace de Crisis"". Dirigiéndose a los presentes, sentenció: ""Para que el acompañamiento técnico de Verónica no colisione con la fiscalización de Martín ni con la auditoría de Laura, establecemos este Comité con un delegado de cada institución. Su mandato es mediar ante cualquier conflicto durante el filtrado y garantizar que el flujo de los proyectos no se detenga. Con esta estructura, el diseño queda blindado contra la parálisis procedimental"". Como resultado, el proceso operativo ganó cohesión, logrando que el soporte técnico y la auditoría se conviertan en mecanismos colaborativos en lugar de fuentes de fricción.

[VARIABLES: viabilidad_operativa=75, federalizacion_efectiva=65, nivel_de_consenso=100]";65.0;75.0;40.0;65.0;100.0;60.0;75.0
10;Sergio Ledesma — CP-NOA;Lograr que la convocatoria financie soluciones aplicables, accesibles y probadas en condiciones productivas reales. Sergio Ledesma debe defender esta posicion incluso cuando resulte incomoda para la mesa, y no debe sumarse a un acuerdo que la deje sin garantias.;What does Sergio Ledesma — CP-NOA say or do regarding the implementation of the 'Comité de Enlace de Crisis' to ensure the interests of local producers are protected?;161;"**Event:** Sergio Ledesma (CP-NOA) formalizes the role of his institution within the ""Comité de Enlace de Crisis"" to ensure that the rigorous audit requirements imposed by the DIE and CECT do not exclude small producers from the ""NOA Agua, Producción y Territorio"" convocatoria. Addressing the committee, Sergio declares: ""El Comité no debe ser una oficina de sellos, sino una red de seguridad operativa. La vigilancia técnica del CECT y la fiscalización de la DIE son necesarias, pero para el productor, el requisito metodológico es un muro si no se traduce en asistencia. El CP-NOA asume el rol de asegurar que el acompañamiento del COFECyT no sea apenas una formalidad de archivo, sino una traducción constante de los estándares a las necesidades del territorio"". Como resultado, la mesa integra la perspectiva de los productores al proceso de auditoría, transformando los controles burocráticos en un mecanismo de inclusión proactiva que garantiza la viabilidad y la adopción productiva de las soluciones.

[VARIABLES: adopcion_productiva=70, viabilidad_operativa=80]";70.0;75.0;40.0;65.0;100.0;60.0;80.0
